ID,brand,c__productCategory,manufacturerSKU,c__baseSku,c__series,c__installationManual,installationManualFileName(.pdf),comment
majestic-18-fireside-supreme-oak-gas-log-set-for-see-through-fireplace-stfso18,Majestic,Gas Log Sets,STFSO18,STFSO18,Fireside Supreme Oak,pdf/stfso18.pdf,stfso18,Ignored.
majestic-18-fireside-versawood-refractory-cement-log-set-fvw18,Majestic,Media Kits,FVW18,FVW18,Fireside Versawood,pdf/fvw18.pdf,fvw18,Ignored.
majestic-echelon-48-driftwood-log-set,Majestic,Media Kits,LOGS-DRTWOOD-48,,Echelon,pdf/logs-drtwood-48.pdf,logs-drtwood-48,Ignored.
majestic-echelon-60-driftwood-log-set-logs-drtwood-60,Majestic,Media Kits,LOGS-DRTWOOD-60,,Echelon,pdf/logs-drtwood-60.pdf,logs-drtwood-60,Ignored.
majestic-courtyard-42-standard-log-set-with-grate-sdlogs-odcoug,Majestic,Media Kits,"SDLOGS-ODCOUG, GR-ODCOUG",,Courtyard,"pdf/sdlogs-odcoug, gr-odcoug.pdf","sdlogs-odcoug, gr-odcoug",Ignored.
majestic-24-fireside-supreme-oak-refractory-cement-log-set-fso24,Majestic,Media Kits,FSO24,FSO24,Fireside Supreme Oak,pdf/fso24.pdf,fso24,Ignored.
majestic-echelon-72-driftwood-log-set-logs-drtwood-72,Majestic,Media Kits,LOGS-DRTWOOD-72,,Echelon,pdf/logs-drtwood-72.pdf,logs-drtwood-72,Ignored.
majestic-standard-definition-log-set-sdlogs-odcoug,Majestic,Media Kits,SDLOGS-ODCOUG,SDLOGS,Standard Definition,pdf/sdlogs-odcoug.pdf,sdlogs-odcoug,Ignored.
majestic-24-fireside-versawood-refractory-cement-log-set-fvw24,Majestic,Media Kits,FVW24,FVW24,Fireside Versawood,pdf/fvw24.pdf,fvw24,Ignored.
majestic-24-fireside-realwood-refractory-cement-log-set-frw124,Majestic,Media Kits,FRW124,FRW124,Fireside Realwood,pdf/frw124.pdf,frw124,Ignored.
majestic-24-fireside-supreme-oak-gas-log-set-for-see-through-fireplace-stfso24,Majestic,Gas Log Sets,STFSO24,STSFO24,Fireside Supreme Oak,pdf/stfso24.pdf,stfso24,Not found any matched installation manual.
majestic-driftwood-log-set-dwlg-mi-maj,Majestic,Media Kits,DWLG-MI-MAJ,DWLG,Driftwood,pdf/dwlg-mi-maj.pdf,dwlg-mi-maj,Ignored.
majestic-driftwood-log-set-for-jade-series-drtwood-jade,Majestic,Media Kits,DRTWOOD-JADE,,Driftwood,pdf/drtwood-jade.pdf,drtwood-jade,Ignored.
empire-boulevard-60-rustic-log-set-ls60thf,Empire,Media Kits,LS60THF,LS60,Boulevard,pdf/ls60thf.pdf,ls60thf,Ignored.
majestic-vdy24-18d2a-4-piece-fiber-ceramic-log-set,Majestic,Media Kits,VDY24/18D2A,VDY24,,pdf/vdy24/18d2a.pdf,vdy24/18d2a,Ignored.
empire-boulevard-rustic-log-set-ls48thf,Empire,Media Kits,LS48THF,LS48,Boulevard,pdf/ls48thf.pdf,ls48thf,Ignored.
majestic-18-fireside-realwood-refractory-cement-log-set-frw118,Majestic,Media Kits,FRW118,FRW118,Fireside Realwood,pdf/frw118.pdf,frw118,Ignored.
majestic-high-definition-log-set-hdlogs-odcoug,Majestic,Media Kits,HDLOGS-ODCOUG,HDLOGS,High Definition,pdf/hdlogs-odcoug.pdf,hdlogs-odcoug,Ignored.
napoleon-birch-log-set-blkax36,Napoleon,Media Kits,BLKAX36,BLKAX36,Birch,pdf/blkax36.pdf,blkax36,Ignored.
majestic-courtyard-42-high-definition-log-set-with-grate-hdlogs-odcoug-gr-odcoug,Majestic,Media Kits,"HDLOGS-ODCOUG, GR-ODCOUG",,Courtyard,"pdf/hdlogs-odcoug, gr-odcoug.pdf","hdlogs-odcoug, gr-odcoug",Ignored.
monessen-birch-log-set-for-avfl60-avfl60bls,Monessen,Media Kits,AVFL60BLS,AVFL60,Birch,pdf/avfl60bls.pdf,avfl60bls,Ignored.
napoleon-the-crawford-electric-fireplace-and-mantel-package-nefp27-1116b,Napoleon,Electric Fireplaces,NEFP27-1116B,,The Crawford,pdf/nefp27-1116b.pdf,nefp27-1116b,Not found any matched installation manual.
napoleon-driftwood-logset-for-altitude-x-36-dlkax36,Napoleon,Media Kits,DLKAX36,DLKAX36,Driftwood,pdf/dlkax36.pdf,dlkax36,Ignored.
simplifire-scion-trinity-43-inch-electric-fireplace-sf-sct43,Monessen,Electric Fireplaces,SF-SCT43-BK,,Scion,pdf/sf-sct43-bk.pdf,sf-sct43-bk,Not found any matched installation manual.
simplifire-scion-trinity-55-inch-electric-fireplace-sf-sct43,Monessen,Electric Fireplaces,SF-SCT55-BK,,Scion,pdf/sf-sct55-bk.pdf,sf-sct55-bk,Not found any matched installation manual.
napoleon-split-oak-logset-for-altitude-x-36-olkax36,Napoleon,Media Kits,OLKAX36,OLKAX36,Split Oak,pdf/olkax36.pdf,olkax36,Ignored.
napoleon-s-series-s1-metallic-charcoal-small-wood-stove,Napoleon,Wood Stoves,S1,,S-Series,pdf/s1.pdf,s1,Not found any matched installation manual.
napoleon-s-series-s4-metallic-charcoal-medium-wood-stove,Napoleon,Wood Stoves,S4,,S-Series,pdf/s4.pdf,s4,Not found any matched installation manual.
napoleon-s-series-s9-metallic-charcoal-large-wood-stove,Napoleon,Wood Stoves,S9,,S-Series,pdf/s9.pdf,s9,Not found any matched installation manual.
simplifire-electric-insert-30-electric-fireplace-sf-ins30-bk,Monessen,Electric Fireplaces,SF-INS30-BK,,Electric Insert,pdf/sf-ins30-bk.pdf,sf-ins30-bk,Not found any matched installation manual.
simplifire-scion-43-inch-wall-mounted-electric-fireplace-sf-sc43-bk,Monessen,Electric Fireplaces,SF-SC43-BK,,Scion,pdf/sf-sc43-bk.pdf,sf-sc43-bk,Not found any matched installation manual.
simplifire-scion-55-inch-wall-mounted-electric-fireplace-sf-sc55-bk,Monessen,Electric Fireplaces,SF-SC55-BK,,Scion,pdf/sf-sc55-bk.pdf,sf-sc55-bk,Not found any matched installation manual.
simplifire-scion-78-inch-wall-mounted-electric-fireplace-sf-sc78-bk,Monessen,Electric Fireplaces,SF-SC78-BK,,Scion,pdf/sf-sc78-bk.pdf,sf-sc78-bk,Not found any matched installation manual.
napoleon-maple-logset-for-altitude-x-36-mlkax36,Napoleon,Media Kits,MLKAX36,MLKAX36,Maple,pdf/mlkax36.pdf,mlkax36,Ignored.
superior-concrete-24-inch-boulder-mountain-lbg24bm,Superior,Media Kits,LBG24BM,LBG24,,pdf/lbg24bm.pdf,lbg24bm,Ignored.
